序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
43,舊貴子坑溪下游環境暨排水改善工程,臺北市政府工務局水利工程處,27474,開巨技術顧問有限公司,開巨技術顧問有限公司,上溢營造股份有限公司,無,1130613,不預先通知,82,0,0,0,查核
44,臺北市中山區力行社會住宅新建工程,臺北市政府都市發展局,194000,旭日聯合建築師事務所,旭日聯合建築師事務所,建國工程股份有限公司,無,1130613,不預先通知,83,0,0,0,查核
45,臺北市職能發展學院原機工大樓及學員宿舍用地改建工程,臺北市政府工務局新建工程處,2924009,高世銘建築師事務所,高世銘建築師事務所,"三星營造股份有限公司
永龍企業股份有限公司
金鴻空調機電工程有限公司",郭恆成建築師事務所,1130614,不預先通知,83,0,0,0,查核
46,113年度本市西北區公園綠地安全島廣場苗圃等土木水電設施維護預約工程,臺北市政府工務局公園路燈工程管理處,18400,晨星工程技術顧問有限公司,晨星工程技術顧問有限公司,國興營造有限公司,無,1130617,不預先通知,80,0,0,0,查核
47,跨越大坑溪自行車道興建工程,臺北市政府工務局新建工程處東區工務所,101403,恆康工程顧問股份有限公司,安笙工程顧問有限公司,稻田營造有限公司,無,1130618,不預先通知,83,0,0,0,查核
48,樂活公園附建地下停車場新建統包工程,臺北市停車管理工程處,618880,里霖聯合建築師事務所,邱永章建築師事務所,"榮金營造工程股份有限公司
豪志工程股份有限公司",邱永章建築師事務所,1130618,不預先通知,83,0,0,0,查核
49,112年度臺北市山區道路預約式維護工程(士林及南港區)(113年續約),臺北市政府工務局大地工程處,40785,開巨技術顧問有限公司,開巨技術顧問有限公司,日光營造股份有限公司,無,1130619,不預先通知,84,0,0,0,查核
50,113年度沉砂池及溝渠用地周邊清疏及維護工程,臺北市政府工務局水利工程處,7180,臺北市政府工務局水利工程處雨水下水道工程科,盛禹工程顧問有限公司,川億營造有限公司,無,1130620,不預先通知,82,0,0,0,查核
51,捷運北投會館周邊(大業路527巷)環境整體改造計畫,臺北市政府工務局公園路燈工程管理處,120134,大凡整合規劃設計有限公司,大凡整合規劃設計有限公司,上溢營造股份有限公司,無,1130624,不預先通知,85,0,0,0,複查
52,112年度臺北市山區道路預約式維護工程(內湖區)(113年續約),臺北市政府工務局大地工程處土石流防治科,25843,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,富士山營造有限公司,無,1130625,不預先通知,83,0,0,0,查核
53,翡翠原水管工程,臺北自來水事業處,1832500,中興工程顧問股份有限公司,臺北自來水事業處工程總隊,福清營造股份有限公司,無,1130625,不預先通知,86,0,0,0,查核
54,提升接管率偏低區里暨環保局列管抽肥用戶污水接管統包工程(東南區),臺北市政府工務局衛生下水道工程處,42468,"桔源工程顧問有限公司
鎧德工程顧問股份有限公司",群亞工程顧問有限公司,廣信工程股份有限公司,無,1130627,不預先通知,85,0,0,0,查核
55,113年度活動中心屋頂防漏整修工程,臺北市士林區社子國民小學,9256,億騰營造有限公司,陳澤修建築師事務所(新北市),億騰營造有限公司,無,1130628,不預先通知,81,0,0,0,查核
